Magnitud,Profundidad
7.1,24.4
6.8,12.8
6,16.5
6,10
6.6,17
6.3,114.5
6.3,10
6.5,126.2
6,20.5
6.1,13.8
6.1,23.5
7.1,28.2
6.7,29.7
6.3,108.7
6.3,35
6,5.8
6.2,106.7
6,35
6.2,61.5
6.8,46.1
6.3,35
6,13
7,38.2
6.3,11.9
6.5,19.8
6.7,9.4
6.4,5.3
6.2,4.4
6.2,13.9
8.1,17.1
7,10.8
6.6,10.6
7.7,12
6.5,13
6.2,19.3
6.1,10.4
6.4,32
6.2,204.5
6.3,172.7
6.7,203.6
6.1,9.7
6.4,127.1
6.1,121.8
6.4,17.4
8.3,22.44
6.4,26.7
6.1,19.1
6.1,35
7,28.41
6.4,42.32
6.5,27
6.8,23
6.7,23
6.2,8
6.1,6
6.2,18
6.2,18
6.1,30
6.1,30
6.6,35
6.1,58
6,58
6.3,46
6,219
6.2,13
6.8,46
6.9,12
6.9,10
6.2,34
6.3,29
6.1,72
6.2,270
6.4,90.79
6.4,115.79
7.6,38
6.3,222
6.5,595.98
6.2,155
6,21
6.9,28
6.4,44.92
6.3,82.43
