"","Depth","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"1",85.5,4.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2",25.3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",61.1,4.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",12.6,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",130.5,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",105.3,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",105.4,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",44.4,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",194,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",36.3,4.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"11",224.1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",216.2,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",228.9,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",100.9,4.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",109.6,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",118.5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",158.4,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",11.2,4.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",35,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20",0.7,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"21",6.3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",112.5,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",73.3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"24",163.3,4.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"25",93.4,4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",239.3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",21.4,4.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",81.2,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
