Magnitud,Profundidad
7.1,24.4
5.3,130.3
5.1,303.9
5.4,10
5.1,35
5.9,23.3
5,3.3
5.1,35
5,45.8
5,67.5
5.3,117.4
5.3,26.8
5,29.7
5.2,105.6
5,24.7
5.1,25.2
5,31
5.7,23
5.4,99
5,26
5.2,70.1
6.8,12.8
5,25
5.3,25
5.3,27
6,16.5
6,10
5.9,28
5.9,23.5
5.6,27
6.6,17
5,17
5.2,10
5.2,35
5.2,105.4
5.4,109.1
5.3,30.6
5.2,17
5,50.6
5,167.1
5,10
5.6,13.5
5.1,35
5.8,23
5,116
5.3,104.7
5.2,30.6
5.1,100
6.3,114.5
5.2,112.9
5.5,33.6
5,25
5.1,44.4
5.2,23.1
5.3,107.8
5.1,50.2
5.2,49.2
5.1,17.1
5.1,12
5.9,102
5.3,17.2
5.2,25.5
5,195
5.1,210.5
5.4,28.5
5.1,25.7
5.2,15.3
5.3,18
5.2,24.2
5,23.3
5,24.3
5.1,223.6
5.2,45.8
5,110.8
6.3,10
5.4,23
5,10
5.3,43.8
5.9,141.4
5,80.7
6.5,126.2
5.3,163.2
5.5,29.8
5,17
5,46.8
5,146.6
5,116.8
5,9.9
5,109.8
5.4,118.4
6,20.5
5.5,125.2
5,43.4
5,27.4
5.4,23
5.2,29.3
5.6,10.4
5.4,169.2
5.5,10
5.4,18.5
5.4,10
5.8,18
5.2,7.3
5.4,98.8
5,24.8
5.9,40.3
5.5,18
5.2,18
5,104.2
5,10
5,10
5.9,16.5
5.1,10
5.2,222.4
5,35
5,1.8
5.1,208.9
5.2,35
5.2,234.8
5.1,128.2
5.1,123.9
5,15
5.8,34.5
5,81.7
5,21.4
5.3,95
5.7,40.4
5.3,3.9
5.2,39.9
5.2,10
5,100
5.1,44.4
5.1,139.8
5,7.5
5,17.9
6.1,13.8
5.4,23
5.7,9.6
5,12.3
5,35
5.3,16
5.3,35
5,35
5.2,50.3
5.7,31.4
5.6,44.6
5.1,18.5
5,66.3
6.1,23.5
5,3.9
5,28.2
5.3,209.9
5.6,28.5
5.1,26.4
5.4,108.1
5.2,33.2
5.1,20.6
5.1,42.7
5.2,106.4
5.1,14.6
5.1,67.7
7.1,28.2
5,95.7
5.1,35.5
5,119.2
5,35
6.7,29.7
5.3,10
5.6,24
6.3,108.7
6.3,35
