Magnitud,Profundidad,Region
7.1,24.4,9
5.3,130.3,3
5.1,303.9,2
5.4,10,7
5.1,35,7
5.9,23.3,7
5,3.3,7
5.1,35,7
5,45.8,6
5,67.5,4
5.3,117.4,1
5.3,26.8,13
5,29.7,13
5.2,105.6,1
5,24.7,13
5.1,25.2,7
5,31,1
5.7,23,8
5.4,99,3
5,26,15
5.2,70.1,3
6.8,12.8,16
5,25,16
5.3,25,16
5.3,27,16
6,16.5,8
6,10,8
5.9,28,16
5.9,23.5,8
5.6,27,16
6.6,17,7
5,17,7
5.2,10,7
5.2,35,7
5.2,105.4,1
5.4,109.1,2
5.3,30.6,13
5.2,17,13
5,50.6,5
5,167.1,3
5,10,11
5.6,13.5,3
5.1,35,7
5.8,23,8
5,116,2
5.3,104.7,1
5.2,30.6,8
5.1,100,1
6.3,114.5,15
5.2,112.9,3
5.5,33.6,5
5,25,5
5.1,44.4,5
5.2,23.1,5
5.3,107.8,2
5.1,50.2,2
5.2,49.2,7
5.1,17.1,13
5.1,12,13
5.9,102,1
5.3,17.2,11
5.2,25.5,7
5,195,2
5.1,210.5,2
5.4,28.5,13
5.1,25.7,13
5.2,15.3,13
5.3,18,9
5.2,24.2,13
5,23.3,13
5,24.3,13
5.1,223.6,2
5.2,45.8,6
5,110.8,1
6.3,10,8
5.4,23,8
5,10,10
5.3,43.8,7
5.9,141.4,15
5,80.7,2
6.5,126.2,2
5.3,163.2,3
5.5,29.8,13
5,17,13
5,46.8,5
5,146.6,1
5,116.8,3
5,9.9,7
5,109.8,15
5.4,118.4,1
6,20.5,13
5.5,125.2,4
5,43.4,1
5,27.4,1
5.4,23,8
5.2,29.3,7
5.6,10.4,7
5.4,169.2,3
5.5,10,7
5.4,18.5,13
5.4,10,10
5.8,18,9
5.2,7.3,13
5.4,98.8,2
5,24.8,6
5.9,40.3,5
5.5,18,9
5.2,18,9
5,104.2,1
5,10,11
5,10,11
5.9,16.5,2
5.1,10,2
5.2,222.4,2
5,35,11
5,1.8,3
5.1,208.9,2
5.2,35,11
5.2,234.8,2
5.1,128.2,15
5.1,123.9,1
5,15,11
5.8,34.5,2
5,81.7,2
5,21.4,4
5.3,95,2
5.7,40.4,2
5.3,3.9,6
5.2,39.9,9
5.2,10,2
5,100,15
5.1,44.4,6
5.1,139.8,2
5,7.5,9
5,17.9,2
6.1,13.8,3
5.4,23,11
5.7,9.6,11
5,12.3,11
5,35,11
5.3,16,2
5.3,35,11
5,35,9
5.2,50.3,5
5.7,31.4,4
5.6,44.6,4
5.1,18.5,4
5,66.3,3
6.1,23.5,16
5,3.9,16
5,28.2,16
5.3,209.9,2
5.6,28.5,8
5.1,26.4,8
5.4,108.1,15
5.2,33.2,4
5.1,20.6,7
5.1,42.7,2
5.2,106.4,1
5.1,14.6,13
5.1,67.7,5
7.1,28.2,7
5,95.7,2
5.1,35.5,13
5,119.2,1
5,35,9
6.7,29.7,5
5.3,10,11
5.6,24,4
6.3,108.7,15
6.3,35,11
5.9,22.1,2
5.4,150.5,8
5.2,123.9,1
6,5.8,7
6.2,106.7,15
5,30.9,7
5,16.2,5
5.4,200.4,2
5,113.7,2
5.3,36.2,3
5.1,30.6,9
5,24.9,10
5.5,26,15
5.2,26.5,1
5.1,166.5,3
5.3,62.3,3
5.2,30.9,8
5.1,29.2,3
5.1,50,15
5,108.7,2
5,120.1,4
5.3,107.6,1
5.2,113.1,2
5.3,133.3,15
5.8,122.9,2
5.6,82,5
5.1,14.2,4
5.1,31.4,2
5.5,122.4,15
5.2,171.8,1
5.2,10,11
5.1,35,11
5,97,1
6,35,11
6.2,61.5,3
5,54.6,2
5.1,23.4,13
5.4,24.3,13
5.2,10.5,13
5.9,17.4,13
5.1,19,13
5.1,35,11
5,9.6,5
5.1,90.6,3
5.2,24.2,3
5.4,32.1,8
5.8,10,7
5.1,59,1
5,253.7,2
5,112.6,15
5.2,10,4
5.3,89.8,1
5.1,30.6,4
5.5,35,11
5.1,35,2
6.8,46.1,3
5.5,44.8,13
5,30.9,13
5.4,26.3,13
5.1,170.2,3
5,121.6,2
5,10,15
5.3,10,15
5.3,10,15
5,181.6,2
5,49.1,2
5,108.3,2
5.4,15.8,7
5.4,35,11
5,82.5,13
5.2,9.7,3
5.3,9.1,3
