Magnitud,Profundidad,Region
7.1,24.4,9
6.8,12.8,16
6,16.5,8
6,10,8
6.6,17,7
6.3,114.5,15
6.3,10,8
6.5,126.2,2
6,20.5,13
6.1,13.8,3
6.1,23.5,16
7.1,28.2,7
6.7,29.7,5
6.3,108.7,15
6.3,35,11
6,5.8,7
6.2,106.7,15
6,35,11
6.2,61.5,3
6.8,46.1,3
6.3,35,11
6,13,15
7,38.2,15
6.3,11.9,7
6.5,19.8,4
6.7,9.4,1
6.4,5.3,1
6.2,4.4,1
6.2,13.9,1
8.1,17.1,1
7,10.8,1
6.6,10.6,1
7.7,12,1
6.5,13,1
6.2,19.3,1
6.1,10.4,1
6.4,32,5
6.2,204.5,2
6.3,172.7,5
6.7,203.6,2
6.1,9.7,7
6.4,127.1,15
6.1,121.8,2
6.4,17.4,16
8.3,22.44,4
6.4,26.7,4
6.1,19.1,4
6.1,35,4
7,28.41,4
6.4,42.32,4
6.5,27,4
6.8,23,4
6.7,23,4
6.2,8,5
6.1,6,4
6.2,18,5
6.2,18,5
6.1,30,4
6.1,30,4
6.6,35,4
6.1,58,4
6,58,4
6.3,46,4
6,219,2
6.2,13,4
6.8,46,4
6.9,12,4
6.9,10,4
6.2,34,2
6.3,29,4
6.1,72,3
6.2,270,2
6.4,90.79,7
6.4,115.79,4
7.6,38,10
6.3,222,2
6.5,595.98,1
6.2,155,2
6,21,5
6.9,28,5
6.4,44.92,15
6.3,82.43,15
