"Magnitud","Profundidad","Region","Aumento"
7.1,24.4,9,42
6.8,12.8,16,65
6,16.5,8,65
6,10,8,58
6.6,17,7,47
6.3,114.5,15,-57
6.3,10,8,-12
6.5,126.2,2,-13
6,20.5,13,44
6.1,13.8,3,-18
6.1,23.5,16,30
7.1,28.2,7,14
6.7,29.7,5,-50
6.3,108.7,15,-30
6.3,35,11,-31
6,5.8,7,-2
6.2,106.7,15,-2
6,35,11,-10
6.2,61.5,3,-3
6.8,46.1,3,18
6.3,35,11,2
6,13,15,10
7,38.2,15,-6
6.3,11.9,7,3
6.5,19.8,4,3
6.7,9.4,1,-42
6.4,5.3,1,-42
6.2,4.4,1,-1
6.2,13.9,1,-1
8.1,17.1,1,4
7,10.8,1,4
6.6,10.6,1,13
7.7,12,1,13
6.5,13,1,13
6.2,19.3,1,13
6.1,10.4,1,4
6.4,32,5,-15
6.2,204.5,2,32
6.3,172.7,5,50
6.7,203.6,2,-3
6.1,9.7,7,23
6.4,127.1,15,22
6.1,121.8,2,-9
6.4,17.4,16,1
8.3,22.44,4,49
6.4,26.7,4,49
6.1,19.1,4,49
6.1,35,4,49
7,28.41,4,49
6.4,42.32,4,49
6.5,27,4,49
6.8,23,4,49
6.7,23,4,49
6.2,8,5,46
6.1,6,4,46
6.2,18,5,46
6.2,18,5,46
6.1,30,4,25
6.1,30,4,25
6.6,35,4,25
6.1,58,4,20
6,58,4,20
6.3,46,4,28
6,219,2,15
6.2,13,4,0
6.8,46,4,0
6.9,12,4,-24
6.9,10,4,-24
6.2,34,2,14
6.3,29,4,-91
6.1,72,3,35
6.2,270,2,33
6.4,90.79,7,-1
6.4,115.79,4,6
7.6,38,10,74
6.3,222,2,-24
6.5,595.98,1,-51
6.2,155,2,-48
6,21,5,-51
6.9,28,5,-39
6.4,44.92,15,10
6.3,82.43,15,-9
