"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"4374",-29.7176,-71.8375,19.4,"ML",4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4375",-33.9518,-73.2732,24.3,"mb",4.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4376",-17.113,-74.3706,35,"mb",4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4377",-35.176,-71.9142,51.5,"mb",4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4378",-38.3907,-73.3993,24.4,"MW",7.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4379",-39.6323,-74.1146,0,"mb",4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4380",-39.2147,-74.0552,0,"mb",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4381",-38.6469,-73.5015,18,"mb",4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4382",-38.6332,-73.1562,18,"mb",4.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4383",-38.3528,-73.3917,18,"mb",4.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4384",-38.5772,-73.9249,35,"mb",4.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4385",-39.4695,-74.2321,0,"mb",4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4386",-38.5514,-73.6606,18,"mb",4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
