"Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
-38.3907,-73.3993,24.4,"MW",7.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-36.4604,-73.1552,12.8,"MW",6.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-37.2361,-73.4875,16.5,"MW",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-37.0037,-73.1547,10,"MW",6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-35.4868,-73.1011,17,"MW",6.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-18.2064,-69.5006,114.5,"MW",6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.5547,-73.8322,10,"MW",6.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-21.771,-68.3834,126.2,"MW",6.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.8756,-72.1007,20.5,"MW",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-27.9324,-71.1344,13.8,"MW",6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-36.4552,-73.1816,23.5,"MW",6.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-35.2035,-72.1268,28.2,"MW",7.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-32.6374,-71.5641,29.7,"MW",6.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-17.7968,-69.7926,108.7,"MW",6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.6403,-80.4601,35,"MW",6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-36.0516,-70.8547,5.8,"MW",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-15.9117,-72.4723,106.7,"MW",6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.669,-77.0841,35,"MW",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-29.1789,-71.3863,61.5,"MW",6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-28.1096,-70.8883,46.1,"MW",6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-45.0062,-80.7244,35,"MW",6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-15.6661,-71.7458,13,"MW",6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.9001,-74.6012,38.2,"MW",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.4018,-73.1515,11.9,"MW",6.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-30.3139,-71.5019,19.8,"MW",6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-19.9051,-70.6156,9.4,"MW",6.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.06,-70.8284,5.3,"MW",6.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.8225,-70.9441,4.4,"MW",6.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.7033,-70.7814,13.9,"MW",6.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.6193,-70.7877,17.1,"MW",8.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.962,-71.0177,10.8,"MW",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.3644,-70.5007,10.6,"MW",6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.5887,-70.4905,12,"MW",7.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.7493,-70.5408,13,"MW",6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.6075,-70.5337,19.3,"MW",6.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.6954,-70.6616,10.4,"MW",6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-32.6953,-71.4416,32,"MW",6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-23.7849,-66.5888,204.5,"MW",6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-32.6484,-67.1501,172.7,"MW",6.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-23.0653,-66.6621,203.6,"MW",6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.1112,-73.689,9.7,"MW",6.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-18.3544,-69.1883,127.1,"MW",6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22.4098,-68.4519,121.8,"MW",6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.3349,-73.6674,17.4,"MW",6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-31.5729,-71.6744,22.44,"mww",8.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.618,-71.745,26.7,"mb",6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.7502,-71.7425,19.1,"mwr",6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.6,-71.9189,35,"mb",6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.5622,-71.4262,28.41,"mww",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.1043,-71.6504,42.32,"mww",6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.4244,-71.6876,27,"mww",6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.52,-71.81,23,"mwc",6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.5173,-71.804,23,"mww",6.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-32.3681,-72.2292,8,"mww",6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-29.6411,-72.077,6,"mww",6.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-32.33,-72.07,18,"mwc",6.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-32.3335,-72.0629,18,"mww",6.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-31.58,-71.74,30,"mwc",6.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.5757,-71.7431,30,"mww",6.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.7275,-71.3792,35,"mww",6.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.44,-71.26,58,"mwc",6.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-31.4441,-71.2653,58,"mww",6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-30.8148,-71.3217,46,"mww",6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-23.8,-66.6,219,"mwc",6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-29.4642,-72.3015,13,"mww",6.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-30.8796,-71.4519,46,"mww",6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-29.5067,-72.0068,12,"mww",6.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-29.5097,-72.0585,10,"mww",6.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-24.828,-70.6009,34,"mww",6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-30.5723,-71.5838,29,"Mww",6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-26.1049,-70.5074,72,"mww",6.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-22.3087,-66.0261,270,"mww",6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.1033,-70.9964,90.79,"mwp",6.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-31.6428,-68.7645,115.79,"Mwp",6.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-43.4053,-73.9403,38,"Mww",7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-23.8613,-66.6592,222,"Mww",6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.2814,-63.9047,595.98,"Mww",6.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23.2706,-67.7655,155,"Mww",6.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.0361,-72.0063,21,"Mww",6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-33.0291,-72.0452,28,"Mww",6.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-16.4206,-73.6296,44.92,"Mww",6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.5212,-69.6411,82.43,"Mww",6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
